"Violated Policy Name",Timestamp,"API ID","API Version ID","API Name","API Version Name"
,2020-05-12T18:39:20.211Z,211344408,16147265,customer-api,v1
,2020-05-12T18:39:20.217Z,211344408,16147265,customer-api,v1
"Client ID enforcement",2020-05-12T18:39:23.704Z,211344411,16147268,payment-api,v1
"Client ID enforcement",2020-05-12T18:40:48.950Z,211344411,16147268,payment-api,v1
,2020-05-12T18:41:46.764Z,211344408,16147265,customer-api,v1
"Client ID enforcement",2020-05-12T18:41:47.839Z,211344411,16147268,payment-api,v1
"Client ID enforcement",2020-05-12T18:41:47.839Z,211344411,16147268,payment-api,v1
"Client ID enforcement",2020-05-12T18:39:23.703Z,211344411,16147268,payment-api,v1
,2020-05-12T18:40:47.031Z,211344408,16147265,customer-api,v1
,2020-05-12T18:40:47.036Z,211344408,16147265,customer-api,v1
"Client ID enforcement",2020-05-12T18:40:48.950Z,211344411,16147268,payment-api,v1
"Rate limiting",2020-05-12T18:41:52.191Z,211344408,16147265,customer-api,v1
"Rate limiting",2020-05-12T18:41:52.195Z,211344408,16147265,customer-api,v1
"Rate limiting",2020-05-12T18:42:13.844Z,211344408,16147265,customer-api,v1
"Rate limiting",2020-05-12T18:42:13.848Z,211344408,16147265,customer-api,v1
,2020-05-12T18:41:46.760Z,211344408,16147265,customer-api,v1
,2020-05-12T18:43:31.423Z,211344408,16147265,customer-api,v1
"Client ID enforcement",2020-05-12T18:43:33.663Z,211344411,16147268,payment-api,v1
,2020-05-12T18:43:31.428Z,211344408,16147265,customer-api,v1
"Client ID enforcement",2020-05-12T18:43:33.664Z,211344411,16147268,payment-api,v1
,2020-05-12T18:50:33.053Z,211344408,16147265,customer-api,v1
"Client ID enforcement",2020-05-12T18:50:35.942Z,211344411,16147268,payment-api,v1
"Rate limiting",2020-05-12T18:50:51.222Z,211344408,16147265,customer-api,v1
,2020-05-12T18:50:33.057Z,211344408,16147265,customer-api,v1
"Client ID enforcement",2020-05-12T18:50:35.942Z,211344411,16147268,payment-api,v1
"Rate limiting",2020-05-12T18:50:51.227Z,211344408,16147265,customer-api,v1
,2020-05-12T18:53:04.377Z,211344408,16147265,customer-api,v1
"Client ID enforcement",2020-05-12T18:53:05.775Z,211344411,16147268,payment-api,v1
"Client ID enforcement",2020-05-12T18:53:05.775Z,211344411,16147268,payment-api,v1
,2020-05-12T18:53:04.373Z,211344408,16147265,customer-api,v1
"Rate limiting",2020-05-12T18:54:57.638Z,211344408,16147265,customer-api,v1
,2020-05-12T18:54:49.774Z,211344408,16147265,customer-api,v1
,2020-05-12T18:54:49.778Z,211344408,16147265,customer-api,v1
"Rate limiting",2020-05-12T18:54:57.634Z,211344408,16147265,customer-api,v1
,2020-05-12T20:19:35.922Z,211344408,16147265,customer-api,v1
,2020-05-12T20:19:35.928Z,211344408,16147265,customer-api,v1
"Client ID enforcement",2020-05-12T20:19:37.579Z,211344411,16147268,payment-api,v1
"Client ID enforcement",2020-05-12T20:19:37.579Z,211344411,16147268,payment-api,v1
,2020-05-14T03:14:33.137Z,211344408,16147265,customer-api,v1
,2020-05-14T03:14:33.142Z,211344408,16147265,customer-api,v1
,2020-05-14T03:41:18.421Z,211344408,16147265,customer-api,v1
,2020-05-14T03:41:18.425Z,211344408,16147265,customer-api,v1
